dataset,fbg,impact_id,start_time,peak_time,end_time,pre_impact_baseline,peak_value,peak_shift,absolute_peak_shift,post_impact_level,residual_shift,rise_time,recovery_time,residual_n_samples,residual_reason
expert8,FBG2,expert8-FBG2-019,30.519695,30.719693,31.01969,-2.847435988163193e-06,0.019660363403085482,0.019663210839073644,0.019663210839073644,0.01892950093227789,0.01893234836826605,0.1999980000000008,0.2999970000000012,29,
expert8,FBG2,expert8-FBG2-020,31.399686,31.599684,31.799682,-2.847435988163193e-06,0.019737939160703884,0.019740786596692046,0.019740786596692046,0.018944605827363202,0.018947453263351365,0.1999980000000008,0.1999980000000008,23,
expert8,FBG2,expert8-FBG2-021,32.339676,32.659673,32.859671,-2.847435988163193e-06,0.019989291142057275,0.019992138578045437,0.019992138578045437,0.015423906526679932,0.015426753962668094,0.31999700000000075,0.1999980000000008,12,
expert8,FBG2,expert8-FBG2-022,33.199668,33.199668,34.119658,-2.847435988163193e-06,0.01218080629355843,0.012183653729546592,0.012183653729546592,-0.00031868088581707334,-0.00031583344982891013,0.0,0.9199899999999985,27,
expert8,FBG2,expert8-FBG2-023,34.479655,34.599654,34.919651,-2.847435988163193e-06,-0.004936746153931277,-0.004933898717943114,0.004933898717943114,-0.0016380748252486006,-0.0016352273892604374,0.11999899999999997,0.31999700000000075,33,
expert8,FBG2,expert8-FBG2-024,35.599644,35.799642,35.919641,-2.847435988163193e-06,-0.005269753146940222,-0.005266905710952059,0.005266905710952059,0.0033781839159679992,0.0033810313519561626,0.1999980000000008,0.11999899999999997,50,
expert8,FBG2,expert8-FBG2-025,37.419626,37.859621,39.839601,-2.847435988163193e-06,0.02137008368289298,0.021372931118881142,0.021372931118881142,0.0016975662003602537,0.001700413636348417,0.43999499999999614,1.9799800000000047,20,
expert9,FBG2,expert9-FBG2-004,4.039959,4.119959,6.99993,1.0942890127497171e-06,-0.05383561631708306,-0.05383671060609581,0.05383671060609581,-0.035280627972018794,-0.035281722261031545,0.08000000000000007,2.8799710000000003,29,
expert9,FBG2,expert9-FBG2-005,7.159928,7.359926,7.559924,1.0942890127497171e-06,-0.03645326200472492,-0.03645435629373767,0.03645435629373767,-0.035232213053612155,-0.035233307342624906,0.1999979999999999,0.1999979999999999,50,
expert9,FBG2,expert9-FBG2-006,8.699913,8.99991,9.099909,1.0942890127497171e-06,-0.03576193333334231,-0.03576302762235506,0.03576302762235506,-0.03547984708626176,-0.03548094137527451,0.2999969999999994,0.0999990000000004,18,
