dataset,fbg,impact_id,start_time,peak_time,end_time,duration,num_samples,sampling_frequency_hz,wavelet,decomposition_level,wavelet_energy,approximation_energy,detail_energy,wavelet_entropy
expert8,FBG2,expert8-FBG2-018,29.139708,29.339707,30.219697,1.0799890000000012,55,50.000000000001066,db4,3,0.027265971500257523,0.027263198252888837,2.7732473686842644e-06,0.0015541684830288288
expert8,FBG2,expert8-FBG2-019,30.519695,30.719693,31.01969,0.49999500000000197,26,50.000000000001066,db4,3,0.010974878935186972,0.01097449142840361,3.875067833603323e-07,0.000573138335285285
expert8,FBG2,expert8-FBG2-020,31.399686,31.599684,31.799682,0.3999960000000016,21,50.000000000001066,db4,3,0.009870005283044221,0.009869600301995787,4.0498104843433473e-07,0.0006571429171520923
expert8,FBG2,expert8-FBG2-021,32.339676,32.659673,32.859671,0.5199950000000015,27,49.999999999992184,db4,3,0.01189084628931911,0.01189004242536489,8.038639542203344e-07,0.0010340096096357171
expert8,FBG2,expert8-FBG2-022,33.199668,33.199668,34.119658,0.9199899999999985,47,50.00000000000995,db4,3,0.005966039225479538,0.005964372128143393,1.6670973361450116e-06,0.003940814869633008
expert8,FBG2,expert8-FBG2-023,34.479655,34.599654,34.919651,0.4399960000000007,23,50.00000000000995,db4,3,0.0003451814311657072,0.0003448085260340256,3.7290513168164515e-07,0.012203518816388592
expert8,FBG2,expert8-FBG2-024,35.599644,35.799642,35.919641,0.31999700000000075,17,49.999999999992184,db4,3,0.00033073457159586277,0.00033034789504428515,3.8667655157760294e-07,0.01307358839713274
expert8,FBG2,expert8-FBG2-025,37.419626,37.859621,39.839601,2.419975000000001,122,50.00250012500989,db4,3,0.01929440268363624,0.019160674400962033,0.0001337282826742068,0.0639023483616017
expert9,FBG2,expert9-FBG2-004,4.039959,4.119959,6.99993,2.9599710000000004,149,49.99999999999885,db4,3,0.26278062724427165,0.25895398731399877,0.0038266399302728914,0.12660905861579297
expert9,FBG2,expert9-FBG2-005,7.159928,7.359926,7.559924,0.3999959999999998,21,49.99999999999885,db4,3,0.03479436763938607,0.034794064120954565,3.035184315039891e-07,0.0001591932631746484
expert9,FBG2,expert9-FBG2-006,8.699913,8.99991,9.099909,0.3999959999999998,21,50.000000000001066,db4,3,0.03425670803192865,0.03425653958487135,1.6844705730096737e-07,9.38025731884872e-05
expert9,FBG2,expert9-FBG2-007,9.559904,9.759902,11.879881,2.3199769999999997,117,49.999999999996625,db4,3,0.19850057032781918,0.1984851483616809,1.5421966138278077e-05,0.0012711812719613884
expert9,FBG2,expert9-FBG2-008,12.059879,14.519854,14.719852,2.659972999999999,134,50.000000000001066,db4,3,0.2162959745792991,0.2162631220493954,3.285252990370788e-05,0.0022770798168619106
expert9,FBG2,expert9-FBG2-009,15.139848,15.199847,15.699843,0.5599949999999989,29,50.000000000001066,db4,3,0.05950988424978322,0.05950844558528548,1.4386644977401261e-06,0.00042724125083348427
expert9,FBG2,expert9-FBG2-010,15.93984,18.139818,18.339816,2.3999759999999988,121,50.000000000001066,db4,3,0.2072341778228955,0.2072099725545904,2.4205268305102415e-05,0.001806387028827384
expert9,FBG2,expert9-FBG2-011,18.699813,19.399806,19.599804,0.899991,46,50.002500125001006,db4,3,0.07887454970862166,0.07887179532788804,2.754380733621748e-06,0.0005927790790662726
expert9,FBG2,expert9-FBG2-012,20.079799,21.93978,22.319777,2.239977999999997,113,50.00250012500989,db4,3,0.2015157165493204,0.20149746781398498,1.8248735335419205e-05,0.001442787984037972
expert9,FBG2,expert9-FBG2-013,22.819771,23.899761,24.099758,1.279987000000002,65,50.000000000001066,db4,3,0.14362592531850213,0.14361416167141958,1.1763647082545594e-05,0.0013145100291582568
expert9,FBG2,expert9-FBG2-014,25.219747,25.89974,26.419735,1.1999879999999976,61,50.000000000001066,db4,3,0.13163027280963446,0.1316118418428335,1.8430966800947942e-05,0.002092124993419902
