dataset,fbg,impact_id,start_time,peak_time,end_time,duration,peak_shift,residual_shift,rise_time,recovery_time,mean,median,std,variance,rms,minimum,maximum,peak_to_peak,skewness,kurtosis,crest_factor,sampling_frequency_hz,num_samples,dominant_frequency_hz,dominant_magnitude,spectral_energy,spectral_entropy,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,stft_peak_frequency_hz,stft_max_energy,stft_valid,feature_status,failure_reason
expert8,FBG2,expert8-FBG2-004,9.079909,9.419906,9.479905,0.3999959999999998,0.022120343706216156,0.021227243473158,0.33999699999999855,0.059999000000001246,0.02111077077351319,0.021156400699159077,0.0005746170948503472,3.301848056942529e-07,0.021118589618095072,0.019833533566264182,0.022117496270227993,0.0022839627039638113,-0.4383053124820374,-0.18950839525384966,1.0472998751430365,50.000000000001066,21,2.3809523809524316,0.00412478673512623,4.656915687811526e-05,2.1000249184175823,3.253876624579318,3.075692473225031,0.11014530369808123,4.761904761904863,0.0,0.000538441832895089,True,ok,
expert8,FBG2,expert8-FBG2-005,10.399896,10.599894,10.799892,0.3999959999999998,0.022148548834447064,0.02091808263398588,0.1999980000000008,0.199997999999999,0.021091138183879383,0.020907845920592645,0.0005633145598526216,3.173232933419528e-07,0.02109865951156227,0.02027034009304804,0.0221457013984589,0.0018753613054108623,0.4314874594438604,-1.147605195811351,1.0496259909935435,50.000000000001066,21,2.3809523809524316,0.004290312578297016,4.416531438370265e-05,1.8046214694659743,2.614016944879062,2.4653779787402796,0.05826141875267184,4.761904761904863,0.0,0.0005733854152159722,True,ok,
expert8,FBG2,expert8-FBG2-006,13.079869,13.119869,13.479865,0.3999959999999998,0.02083971433561881,0.021186031351955053,0.03999999999999915,0.35999600000000065,0.02008546163821358,0.020231225873955188,0.0005186120344252153,2.689584422506607e-07,0.020092155873932496,0.019124256177007318,0.020836866899630647,0.001712610722623329,-0.5509521192508353,-1.0071910290429469,1.0370647644966928,50.000000000001066,21,4.761904761904863,0.0036430709412324934,3.590676838583005e-05,2.2741396699531755,4.518154171126838,4.336739999543318,0.31768550938861695,7.142857142857295,0.0,0.0004930197217180698,True,ok,
expert8,FBG2,expert8-FBG2-007,13.679863,13.879861,14.839852,1.1599890000000013,0.021826940442834442,0.01989915489505431,0.1999980000000008,0.9599910000000005,0.020269898387907853,0.020271086013826524,0.0008483359847617414,7.196739430416735e-07,0.020287642903973623,0.01866439603715544,0.02182409300684628,0.003159696969690838,-0.0443135393080683,-0.9757496437843276,1.0757332978574716,50.000000000001066,59,1.6949152542373243,0.01128194302658676,0.0004620602539613941,2.830559564918959,3.53263993500564,2.434570924300964,0.08666217384620775,5.0847457627119725,0.0,0.0005280495999073991,True,ok,
expert8,FBG2,expert8-FBG2-008,15.079849,15.279847,15.479845,0.3999959999999998,0.0216131875291055,0.019793886829796555,0.1999980000000008,0.199997999999999,0.020334904417678417,0.020452810955568602,0.0006359822411501069,4.044734110583127e-07,0.020344847285914326,0.01927593449870496,0.02161034009311734,0.002334405594412378,0.06083097645106443,-0.7846907491702977,1.0622021285988799,50.000000000001066,21,2.3809523809524316,0.004076009602748394,4.310255657054183e-05,2.296972221326241,4.890165523489966,4.3026852050058855,0.3663851717508256,7.142857142857295,0.0,0.0005209477522002387,True,ok,
expert8,FBG2,expert8-FBG2-009,16.319837,17.319827,17.799822,1.4799849999999992,0.021206963752859513,0.02038910827499049,0.9999900000000004,0.47999499999999884,0.01998521219875904,0.01993947762226989,0.0007033481462185036,4.946986147890054e-07,0.019997584985298,0.018449267832030304,0.02120411631687135,0.0027548484848410465,-0.1586392922549134,-0.8336313219031637,1.06033385193564,50.000000000001066,75,0.6666666666666808,0.01054998696045442,0.0005024908777106497,3.179789443392107,2.4851500195110776,3.1647766742101924,0.09745118531213745,4.000000000000085,0.0,0.0005236308297118382,True,ok,
expert8,FBG2,expert8-FBG2-010,18.619814,18.819812,19.279807,0.659993,0.021114213170097713,0.02011866538459572,0.19999799999999723,0.4599950000000028,0.019964487220458797,0.0201229275056459,0.0006208278401458339,3.854272071001411e-07,0.019974137708120537,0.018821622144343405,0.02111136573410955,0.002289743589766146,-0.13707850269459154,-0.8865833452816103,1.056935024810942,50.000000000001066,34,1.470588235294149,0.006454077330623694,7.443036708856803e-05,2.3036878510842134,3.651150426091916,4.3790446276359525,0.24979173638991087,5.882352941176596,0.0,0.0005071982183287117,True,ok,
expert8,FBG2,expert8-FBG2-011,20.079799,20.279797,20.479795,0.399995999999998,0.021460017365931443,0.019712255128108074,0.19999799999999723,0.1999980000000008,0.020466411799175816,0.020374279487067395,0.0005215304357527035,2.7199399541640487e-07,0.020473055608014636,0.01966765944043996,0.02145716992994328,0.001789510489503321,0.3249633306995121,-0.8074826359571219,1.0480687563581566,50.000000000001066,21,4.761904761904863,0.004237899505073592,3.862393679032944e-05,2.071904409046819,4.88663517419437,3.4380441220762705,0.2575016817896831,7.142857142857295,0.0,0.0005276656327150268,True,ok,
expert8,FBG2,expert8-FBG2-012,20.899791,21.579784,22.599774,1.6999829999999996,0.02091812925406948,0.02020957447544118,0.6799929999999996,1.01999,0.019564314994164167,0.019621587179328992,0.0007159774331747086,5.126236848154444e-07,0.01957741159795371,0.017697962470738682,0.02091528181808132,0.003217319347342637,-0.44484565049389907,-0.3520368858237406,1.0683374415169085,50.000000000001066,86,3.48837209302333,0.013406280780990293,0.0007146676197901504,3.179278363925646,3.3745703093171016,2.97589324260523,0.08573419752936576,5.232558139534995,0.0,0.00047750368857037,True,ok,
expert8,FBG2,expert8-FBG2-013,22.91977,23.619764,24.439756,1.5199859999999994,0.02110414324000815,0.01916358379947949,0.6999940000000002,0.8199919999999992,0.019058320900172235,0.0190356314684039,0.0007531279893517715,5.672017683450422e-07,0.01907319578105061,0.01768619090893324,0.02110129580401999,0.00341510489508675,0.38088355430793897,-0.23571756663159515,1.1063324702504398,50.000000000001066,77,3.8961038961039796,0.013701321950173068,0.0008152433128957113,3.2109082787230108,3.010806156181887,2.602851183082436,0.0673633890835195,4.545454545454643,0.0,0.0004882944038620512,True,ok,
